/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(

🧪 MULTIPLE PROPOSITION TEST

================================================================================
TESTING PIPELINE ON 200 DIVERSE PROPOSITIONS
================================================================================

[1/202] Loading 200 random propositions...
   Found 49 already-analyzed propositions, skipping those...
   ✓ Loaded 200 propositions
   Confidence distribution:
     - ID 1137: confidence=7/10, len=87 chars
     - ID 1136: confidence=7/10, len=89 chars
     - ID 1132: confidence=7/10, len=67 chars
     - ID 1149: confidence=8/10, len=65 chars
     - ID 1148: confidence=9/10, len=66 chars
     - ID 1147: confidence=8/10, len=84 chars
     - ID 1146: confidence=8/10, len=84 chars
     - ID 1145: confidence=9/10, len=75 chars
     - ID 1144: confidence=8/10, len=86 chars
     - ID 1143: confidence=9/10, len=67 chars
     - ID 1142: confidence=8/10, len=100 chars
     - ID 1140: confidence=10/10, len=68 chars
     - ID 1139: confidence=8/10, len=93 chars
     - ID 1138: confidence=9/10, len=107 chars
     - ID 1135: confidence=8/10, len=79 chars
     - ID 1134: confidence=8/10, len=77 chars
     - ID 1133: confidence=9/10, len=78 chars
     - ID 1131: confidence=6/10, len=88 chars
     - ID 1130: confidence=7/10, len=75 chars
     - ID 1129: confidence=9/10, len=84 chars
     - ID 1128: confidence=8/10, len=79 chars
     - ID 1127: confidence=8/10, len=93 chars
     - ID 1126: confidence=7/10, len=84 chars
     - ID 1125: confidence=8/10, len=101 chars
     - ID 1124: confidence=8/10, len=113 chars
     - ID 1123: confidence=9/10, len=87 chars
     - ID 1122: confidence=7/10, len=148 chars
     - ID 1121: confidence=8/10, len=94 chars
     - ID 1120: confidence=7/10, len=97 chars
     - ID 1119: confidence=8/10, len=85 chars
     - ID 1118: confidence=9/10, len=116 chars
     - ID 1117: confidence=8/10, len=111 chars
     - ID 1116: confidence=6/10, len=120 chars
     - ID 1115: confidence=7/10, len=94 chars
     - ID 1114: confidence=8/10, len=80 chars
     - ID 1113: confidence=9/10, len=80 chars
     - ID 1112: confidence=6/10, len=115 chars
     - ID 1111: confidence=6/10, len=149 chars
     - ID 1110: confidence=7/10, len=82 chars
     - ID 1109: confidence=8/10, len=148 chars
     - ID 1108: confidence=9/10, len=139 chars
     - ID 1107: confidence=6/10, len=144 chars
     - ID 1106: confidence=8/10, len=133 chars
     - ID 1105: confidence=7/10, len=106 chars
     - ID 1104: confidence=8/10, len=139 chars
     - ID 1103: confidence=9/10, len=119 chars
     - ID 1102: confidence=6/10, len=132 chars
     - ID 1101: confidence=8/10, len=119 chars
     - ID 1100: confidence=7/10, len=110 chars
     - ID 1099: confidence=9/10, len=99 chars
     - ID 1098: confidence=8/10, len=110 chars
     - ID 1097: confidence=8/10, len=98 chars
     - ID 1096: confidence=7/10, len=97 chars
     - ID 1095: confidence=8/10, len=92 chars
     - ID 1094: confidence=8/10, len=88 chars
     - ID 1093: confidence=9/10, len=101 chars
     - ID 1092: confidence=5/10, len=124 chars
     - ID 1091: confidence=6/10, len=96 chars
     - ID 1090: confidence=7/10, len=108 chars
     - ID 1089: confidence=9/10, len=98 chars
     - ID 1088: confidence=8/10, len=112 chars
     - ID 1087: confidence=7/10, len=130 chars
     - ID 1086: confidence=7/10, len=152 chars
     - ID 1085: confidence=6/10, len=135 chars
     - ID 1084: confidence=8/10, len=132 chars
     - ID 1083: confidence=9/10, len=118 chars
     - ID 1082: confidence=6/10, len=85 chars
     - ID 1081: confidence=7/10, len=101 chars
     - ID 1080: confidence=7/10, len=102 chars
     - ID 1079: confidence=8/10, len=99 chars
